"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","When I am on practice form page I enter Input for firstName lavan and lastName QA","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","When I am on practice form page I choose the all hobbies","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","0","When I am on Practice form page I select the specific Gender female","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","Then I am on Forms Page I click the practice form section","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","Then I am on practice form page I select the city Panipat from the autoSuggestion option","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","Then I am on practice form page I upload the picture C:\Users\lthirunavukkarasu\Pictures\FileUpload.png","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","When I am on Practice form page I Click the sumbit button","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","10035","Given I launch the DemoQa Url","","Wed Jun 11 18:17:06 IST 2025","broken","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","When I am on practice form page I select the state Hary from the option","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","0","hook:","","Wed Jun 11 18:17:16 IST 2025","failed","Wed Jun 11 18:17:16 IST 2025","","","",""
"","0","Then I am on Practice form page I select the year 2006 ,month December and date 7","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","When I am on DemoQa Home page I click the form section","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
"","1","When I am on Practice form page I pass the input for Email Lavan12@gmail.com and MobileNumber 8777667856","","Wed Jun 11 18:17:16 IST 2025","skipped","Wed Jun 11 18:17:16 IST 2025","","Testing the DemoQa application: Test the practice form section","",""
